species_name	Uncharcterized	Kef	CPA1	CPA2	NhaA	NhaS5	Uncharacterized_Archaea	Uncharacterized_prokarya	DxK_Pseudomonadota	NxK_Gammaproteobacteriota	Latescibacteriota
Ramazzottius_varieornatus	0	0	13	0	0	0	0	0	0	0	0
Malawimonas_californiana	0	0	3	0	0	0	0	0	0	0	0
Acaromyces_ingoldii_MCA_4198	1	0	4	2	0	0	0	0	0	0	0
Cladosiphon_okamuranus	1	13	14	1	1	0	0	1	0	0	0
Jakoba_bahamiensis	0	0	2	0	0	0	0	0	0	0	0
Planomonas_micra	1	0	5	0	0	0	0	0	0	0	0
Priapulus_caudatus	0	0	12	0	0	0	0	0	0	0	0
Pristionchus_pacificus	0	0	13	0	0	0	0	0	0	0	0
Umbelopsis_ramanniana_AG	0	1	3	1	0	0	0	0	0	0	0
Nelumbo_nucifera	0	9	10	23	0	0	0	0	0	0	0
Zootermopsis_nevadensis	0	0	18	0	0	0	0	0	0	0	0
Spizellomyces_punctatus_DAOM_BR117	1	0	4	1	0	0	0	0	0	0	0
Spironucleus_salmonicida	0	0	2	0	0	0	0	0	0	0	0
Arabidopsis_thaliana	0	10	15	36	0	0	0	0	0	0	0
Rhizoctonia_solani	1	0	3	3	0	0	0	0	0	0	0
Porphyra_umbilicalis	1	3	4	0	0	0	0	0	0	0	0
Neoconidiobolus_thromboides_FSU785	0	0	4	2	0	0	0	0	0	0	0
Caulerpa_lentillifera	0	2	3	0	0	0	0	0	0	0	0
Gregarina_niphandrodes	0	1	3	0	0	0	0	0	0	0	0
Homo_sapiens	0	12	88	0	0	0	0	0	0	0	0
Anopheles_gambiae	0	0	56	0	0	0	0	0	0	0	0
Capitella_teleta	0	1	5	0	0	0	0	0	0	0	0
Guillardia_theta_CCMP2712	3	3	3	0	0	0	0	0	0	0	0
Tuber_melanosporum	0	0	1	1	0	0	0	0	0	0	0
Salpingoeca_rosetta	1	1	6	0	0	0	0	0	0	0	0
Emiliania_huxleyi	2	3	12	0	1	0	0	0	0	0	0
Strigomonas_culicis	0	0	4	0	0	0	0	0	0	0	0
