Protein_id	Family	Subfamily	Subclade	Group
Bac226_317612139_tax	1	8	30	47
Bac226_137940413_tax	1	8	30	47
Bac226_390274307_tax	1	8	30	47
Bac226_119521750_tax	1	8	30	47
Bac226_20211452_tax	1	8	30	47
Bac226_292904497_tax	1	8	30	47
Bac226_15082285_tax	1	8	30	47
Bac226_364903102_tax	1	8	30	47
Bac226_360399042_tax	1	8	30	47
Bac226_199572456_tax	1	8	30	47
Bac226_148852396_tax	1	8	30	47
Bac226_232189315_tax	1	8	30	47
Bac226_327122573_tax	1	8	30	47
Bac226_347740598_tax	1	8	30	47
Bac226_205091497_tax	1	8	30	47
Bac226_192782629_tax	1	8	30	47
Bac226_60918420_tax	1	8	30	47
Bac226_329233926_tax	1	8	30	47
Bac226_53561163_tax	1	8	30	47
Bac226_144374846_tax	1	8	30	47
Bac226_119003049_tax	1	8	30	47
Bac226_145747271_tax	1	8	30	47
Bac226_60918376_tax	1	8	30	47
Bac226_13964667_tax	1	8	30	47
Bac226_294890563_tax	1	8	30	47
Bac226_189408311_tax	1	8	30	47
Bac226_164729034_tax	1	8	30	47
Bac226_160602238_tax	1	8	30	47
Bac226_150035341_tax	1	8	30	47
Bac226_337391121_tax	1	8	30	47
Bac226_57632181_tax	1	8	30	47
Bac226_240438850_tax	1	8	30	47
Bac226_137389350_tax	1	8	30	47
Bac226_220856219_tax	1	8	30	47
Bac226_149575592_tax	1	8	30	47
Bac226_233075613_tax	1	8	30	47
Bac226_393341274_tax	1	8	30	47
Bac226_352383927_tax	1	8	30	47
Bac226_150035494_tax	1	8	30	47
Bac226_264100324_tax	1	8	30	47
Bac226_145747973_tax	1	8	30	47
Bac226_392814660_tax	1	8	30	47
Bac226_319124513_tax	1	8	30	47
Bac226_18626387_tax	1	8	30	47
Bac226_269263170_tax	1	8	30	47
Bac226_183327512_tax	1	8	30	47
Bac226_60919486_tax	1	8	30	47
Bac226_352370045_tax	1	8	30	47
Bac226_268774275_tax	1	8	30	47
Bac226_62375926_tax	1	8	30	47
Bac226_373813419_tax	1	8	30	47
Bac226_144375199_tax	1	8	30	47
Bac226_284939301_tax	1	8	30	47
Bac226_201867239_tax	1	8	30	47
Bac226_415509344_tax	1	8	30	47
Bac226_52474982_tax	1	8	30	47
Bac226_339857203_tax	1	8	30	47
Bac226_20188921_tax	1	8	30	47
Bac226_146697729_tax	1	8	30	47
Bac226_373049971_tax	1	8	30	47
Bac226_111393251_tax	1	8	30	47
Bac226_18626129_tax	1	8	30	47
Bac226_407371387_tax	1	8	30	47
Bac226_187492999_tax	1	8	30	47
Bac226_118385886_tax	1	8	30	47
Bac226_121954200_tax	1	8	30	47
Bac226_138319441_tax	1	8	30	47
Bac226_121952045_tax	1	8	30	47
Bac226_1160168_tax	1	8	30	47
Bac226_63920954_tax	1	8	30	47
Bac226_229288837_tax	1	8	30	47
Bac226_377079104_tax	1	8	30	47
Bac226_403302322_tax	1	8	30	47
Bac226_380540835_tax	1	8	30	47
Bac226_127681190_tax	1	8	30	47
Bac226_127970562_tax	1	8	30	47
Bac226_387819069_tax	1	8	30	47
Bac226_50522628_tax	1	8	30	47
Bac226_204652037_tax	1	8	30	47
Bac226_229289688_tax	1	8	30	47
Bac226_199365425_tax	1	8	30	47
Bac226_353308456_tax	1	8	30	47
Bac226_330267277_tax	1	8	30	47
Bac226_92008701_tax	1	8	30	47
Bac226_246966830_tax	1	8	30	47
Bac226_305328314_tax	1	8	30	47
Bac226_343700234_tax	1	8	30	47
Bac226_102746024_tax	1	8	30	47
Bac226_31636620_tax	1	8	30	47
Bac226_418379301_tax	1	8	30	47
Bac226_211771716_tax	1	8	30	47
Bac226_384279372_tax	1	8	30	47
Bac226_396152116_tax	1	8	30	47
Bac226_236417200_tax	1	8	30	47
Bac226_109695363_tax	1	8	30	47
Bac226_319962172_tax	1	8	30	47
Bac226_214830423_tax	1	8	30	47
Bac226_173583668_tax	1	8	30	47
Bac226_121953021_tax	1	8	30	47
Bac226_390289180_tax	1	8	30	47
Bac226_146695280_tax	1	8	30	47
Bac226_381349847_tax	1	8	30	47
Bac226_309961474_tax	1	8	30	47
Bac226_196541263_tax	1	8	30	47
Bac226_330269637_tax	1	8	30	47
Bac226_65433951_tax	1	8	30	47
Bac226_241367204_tax	1	8	30	47
Bac226_301214114_tax	1	8	30	47
Bac226_192781956_tax	1	8	30	47
Bac226_142119191_tax	1	8	30	47
Bac226_388272733_tax	1	8	30	47
Bac226_332755519_tax	1	8	30	47
Bac226_322530807_tax	1	8	30	47
Bac226_348135834_tax	1	8	30	47
Bac226_84529256_tax	1	8	30	47
Bac226_170144557_tax	1	8	30	47
Bac226_144375863_tax	1	8	30	47
Bac226_277710671_tax	1	8	30	47
Bac226_119002864_tax	1	8	30	47
Bac226_128187507_tax	1	8	30	47
Bac226_104288946_tax	1	8	30	47
Bac226_319124795_tax	1	8	30	47
Bac226_214830286_tax	1	8	30	47
Bac226_396151482_tax	1	8	30	47
Bac226_318047183_tax	1	8	30	47
Bac226_321945753_tax	1	8	30	47
Bac226_18626535_tax	1	8	30	47
Bac226_143539037_tax	1	8	30	47
Bac226_257855138_tax	1	8	30	47
Bac226_389326857_tax	1	8	30	47
Bac226_60852038_tax	1	8	30	47
Bac226_415395307_tax	1	8	30	47
Bac226_386789329_tax	1	8	30	47
Bac226_24528863_tax	1	8	30	47
Bac226_252482628_tax	1	8	30	47
Bac226_137075981_tax	1	8	30	47
Bac226_403612428_tax	1	8	30	47
Bac226_18839627_tax	1	8	30	47
Bac226_314921498_tax	1	8	30	47
Bac226_231389477_tax	1	8	30	47
Bac226_180681367_tax	1	8	30	47
Bac226_13962944_tax	1	8	30	47
Bac226_284938309_tax	1	8	30	47
Bac226_263725824_tax	1	8	30	47
Bac226_116991875_tax	1	8	30	47
Bac226_226739591_tax	1	8	30	47
Bac226_25444430_tax	1	8	30	47
Bac226_2659827_tax	1	8	30	47
Bac226_47844953_tax	1	8	30	47
Bac226_191995387_tax	1	8	30	47
Bac226_34412636_tax	1	8	30	47
Bac226_128677540_tax	1	8	30	47
Bac226_371706183_tax	1	8	30	47
Bac226_200630016_tax	1	8	30	47
Bac226_169930419_tax	1	8	30	47
Bac226_146695358_tax	1	8	30	47
Bac226_24528896_tax	1	8	30	47
Bac226_264085088_tax	1	8	30	47
Bac226_284937116_tax	1	8	30	47
Bac226_144374969_tax	1	8	30	47
Bac226_318046415_tax	1	8	30	47
Bac226_128677209_tax	1	8	30	47
Bac226_214829182_tax	1	8	30	47
Bac226_389327178_tax	1	8	30	47
Bac226_200628766_tax	1	8	30	47
Bac226_255970780_tax	1	8	30	47
Bac226_277711110_tax	1	8	30	47
Bac226_240754723_tax	1	8	30	47
Bac226_345690150_tax	1	8	30	47
Bac226_169930504_tax	1	8	30	47
Bac226_85583411_tax	1	8	30	47
Bac226_146697681_tax	1	8	30	47
Bac226_98301950_tax	1	8	30	47
Bac226_276177800_tax	1	8	30	47
Bac226_384739801_tax	1	8	30	47
Bac226_402168934_tax	1	8	30	47
Bac226_372045010_tax	1	8	30	47
Bac226_416016887_tax	1	8	30	47
Bac226_352536968_tax	1	8	30	47
Bac226_36751363_tax	1	8	30	47
Bac226_394795556_tax	1	8	30	47
Bac226_352784314_tax	1	8	30	47
Bac226_260877626_tax	1	8	30	47
Bac226_227511648_tax	1	8	30	47
Bac226_115360890_tax	1	8	30	47
Bac226_277115119_tax	1	8	30	47
Bac226_13924342_tax	1	8	30	47
Bac226_282658107_tax	1	8	30	47
Bac226_304006437_tax	1	8	30	47
Bac226_63208454_tax	1	8	30	47
Bac226_413798459_tax	1	8	30	47
Bac226_91125545_tax	1	8	30	47
Bac226_341112826_tax	1	8	30	47
Bac226_287342970_tax	1	8	30	47
Bac226_247494539_tax	1	8	30	47
Bac226_308995319_tax	1	8	30	47
Bac226_219467938_tax	1	8	30	47
Bac226_301278300_tax	1	8	30	47
Bac226_269807853_tax	1	8	30	47
Bac226_66941528_tax	1	8	30	47
Bac226_133101731_tax	1	8	30	47
Bac226_263410608_tax	1	8	30	47
Bac226_26850738_tax	1	8	30	47
Bac226_188126587_tax	1	8	30	47
Bac226_148822582_tax	1	8	30	47
Bac226_235411073_tax	1	8	30	47
Bac226_249176790_tax	1	8	30	47
Bac226_111506334_tax	1	8	30	47
Bac226_223421582_tax	1	8	30	47
Bac226_201514587_tax	1	8	30	47
Bac226_94021783_tax	1	8	30	47
Bac226_250962648_tax	1	8	30	47
Bac226_415979458_tax	1	8	30	47
Bac226_177293817_tax	1	8	30	47
Bac226_129592370_tax	1	8	30	47
Bac226_372308891_tax	1	8	30	47
Bac226_310429910_tax	1	8	30	47
Bac226_130767046_tax	1	8	30	47
Bac226_32231981_tax	1	8	30	47
Bac226_17288632_tax	1	8	30	47
Bac226_359312021_tax	1	8	30	47
Bac226_216924170_tax	1	8	30	47
Bac226_170057225_tax	1	8	30	47
Bac226_45725454_tax	1	8	30	47
Bac226_151829770_tax	1	8	30	47
Bac226_86343556_tax	1	8	30	47
Bac226_357653303_tax	1	8	30	47
Bac226_220625826_tax	1	8	30	47
Bac226_2748408_tax	1	8	30	47
Bac226_324015892_tax	1	8	30	47
Bac226_165956604_tax	1	8	30	47
Bac226_36217037_tax	1	8	30	47
Bac226_85169940_tax	1	8	30	47
Bac226_375149362_tax	1	8	30	47
Bac226_71059008_tax	1	8	30	47
Bac226_26690513_tax	1	8	30	47
Bac226_307260001_tax	1	8	30	47
Bac226_339180077_tax	1	8	30	47
Bac226_306022102_tax	1	8	30	47
Bac226_251017058_tax	1	8	30	47
Bac226_29423456_tax	1	8	30	47
Bac226_2956681_tax	1	8	30	47
Bac226_206747230_tax	1	8	30	47
Bac226_158976277_tax	1	8	30	47
Bac226_9951532_tax	1	8	30	47
Bac226_64239196_tax	1	8	30	47
Bac226_415836193_tax	1	8	30	47
Bac226_191598642_tax	1	8	30	47
Bac226_389967478_tax	1	8	30	47
Bac226_20836578_tax	1	8	30	47
Bac226_118038807_tax	1	8	30	47
Bac226_99325492_tax	1	8	30	47
Bac226_142693225_tax	1	8	30	47
Bac226_398124549_tax	1	8	30	47
Bac226_44488306_tax	1	8	30	47
Bac226_51206281_tax	1	8	30	47
Bac226_416012664_tax	1	8	30	47
Bac226_306098859_tax	1	8	30	47
Bac226_251690678_tax	1	8	30	47
Bac226_311648134_tax	1	8	30	47
Bac226_305947836_tax	1	8	30	47
Bac226_63014139_tax	1	8	30	47
Bac226_411214464_tax	1	8	30	47
Bac226_279245353_tax	1	8	30	47
Bac226_169372032_tax	1	8	30	47
Bac226_108174848_tax	1	8	30	47
Bac226_416619676_tax	1	8	30	47
Bac226_83204582_tax	1	8	30	47
Bac226_349605127_tax	1	8	30	47
Bac226_371044016_tax	1	8	30	47
Bac226_31816828_tax	1	8	30	47
Bac226_50971627_tax	1	8	30	47
Bac226_150996470_tax	1	8	30	47
Bac226_140038277_tax	1	8	30	47
Bac226_305212827_tax	1	8	30	47
Bac226_239639661_tax	1	8	30	47
Bac226_321355873_tax	1	8	30	47
Bac226_402891954_tax	1	8	30	47
Bac226_96947132_tax	1	8	30	47
Bac226_254938543_tax	1	8	30	47
Bac226_323929085_tax	1	8	30	47
Bac226_108369649_tax	1	8	30	47
Bac226_248050164_tax	1	8	30	47
Bac226_329143051_tax	1	8	30	47
Bac226_254902233_tax	1	8	30	47
Bac226_328051973_tax	1	8	30	47
Bac226_106859418_tax	1	8	30	47
Bac226_386041828_tax	1	8	30	47
Bac226_401584305_tax	1	8	30	47
Bac226_120108652_tax	1	8	30	47
Bac226_14010386_tax	1	8	30	47
Bac226_192936132_tax	1	8	30	47
Bac226_192934477_tax	1	8	30	47
Bac226_89487128_tax	1	8	30	47
Bac226_167199292_tax	1	8	30	47
Bac226_15917522_tax	1	8	30	47
Bac226_403228125_tax	1	8	30	47
Bac226_297589959_tax	1	8	30	47
Bac226_98271565_tax	1	8	30	47
Bac226_266062991_tax	1	8	30	47
Bac226_190757882_tax	1	8	30	47
Bac226_340900983_tax	1	8	30	47
Bac226_50185623_tax	1	8	30	47
Bac226_201699652_tax	1	8	30	47
Bac226_112338075_tax	1	8	30	47
Bac226_132581547_tax	1	8	30	47
Bac226_332743476_tax	1	8	30	47
Bac226_6075560_tax	1	8	30	47
Bac226_370127529_tax	1	8	30	47
Bac226_320696430_tax	1	8	30	47
Bac226_235506556_tax	1	8	30	47
Bac226_360227913_tax	1	8	30	47
Bac226_30013786_tax	1	8	30	47
Bac226_228258570_tax	1	8	30	47
Bac226_280036048_tax	1	8	30	47
Bac226_301705479_tax	1	8	30	47
Bac226_53564340_tax	1	8	30	47
Bac226_207989510_tax	1	8	30	47
Bac226_248954015_tax	1	8	30	47
Bac226_289424181_tax	1	8	30	47
Bac226_108444100_tax	1	8	30	47
Bac226_352569985_tax	1	8	30	47
Bac226_237766023_tax	1	8	30	47
Bac226_248954648_tax	1	8	30	47
Bac226_182197059_tax	1	8	30	47
Bac226_1307038_tax	1	8	30	47
Bac226_389392431_tax	1	8	30	47
Bac226_209820754_tax	1	8	30	47
Bac226_218448015_tax	1	8	30	47
Bac226_239639962_tax	1	8	30	47
Bac226_323565836_tax	1	8	30	47
Bac226_248519240_tax	1	8	30	47
Bac226_135757284_tax	1	8	30	47
Bac226_402820664_tax	1	8	30	47
Bac226_197278580_tax	1	8	30	47
Bac226_406034414_tax	1	8	30	47
Bac226_360204172_tax	1	8	30	47
Bac226_356027658_tax	1	8	30	47
Bac226_89550210_tax	1	8	30	47
Bac226_106859210_tax	1	8	30	47
Bac226_323137254_tax	1	8	30	47
Bac226_67601039_tax	1	8	30	47
Bac226_334628063_tax	1	8	30	47
Bac226_261674790_tax	1	8	30	47
Bac226_213767061_tax	1	8	30	47
Bac226_83982751_tax	1	8	30	47
Bac226_154932307_tax	1	8	30	47
Bac226_272798219_tax	1	8	30	47
Bac226_27667894_tax	1	8	30	47
Bac226_34478171_tax	1	8	30	47
Bac226_308448410_tax	1	8	30	47
Bac226_401584957_tax	1	8	30	47
Bac226_53116920_tax	1	8	30	47
Bac226_98640315_tax	1	8	30	47
Bac226_5683931_tax	1	8	30	47
Bac226_409408102_tax	1	8	30	47
Bac226_321356549_tax	1	8	30	47
Bac226_189471790_tax	1	8	30	47
Bac226_7726705_tax	1	8	30	47
Bac226_126074730_tax	1	8	30	47
Bac226_200884525_tax	1	8	30	47
Bac226_186572135_tax	1	8	30	47
Bac226_54162630_tax	1	8	30	47
Bac226_128168583_tax	1	8	30	47
Bac226_328052363_tax	1	8	30	47
Bac226_128688577_tax	1	8	30	47
Bac226_204566565_tax	1	8	30	47
Bac226_91226269_tax	1	8	30	47
Bac226_303277636_tax	1	8	30	47
Bac226_14764907_tax	1	8	30	47
Bac226_422957266_tax	1	8	30	47
Bac226_49990855_tax	1	8	30	47
Bac226_336996370_tax	1	8	30	47
Bac226_196227153_tax	1	8	30	47
Bac226_240755338_tax	1	8	30	47
Bac226_227067317_tax	1	8	30	47
Bac226_100969190_tax	1	8	30	47
Bac226_390477608_tax	1	8	30	47
Bac226_280069194_tax	1	8	30	47
Bac226_145242711_tax	1	8	30	47
Bac226_20118419_tax	1	8	30	47
Bac226_233682470_tax	1	8	30	47
Bac226_242958807_tax	1	8	30	47
Bac226_1601533_tax	1	8	30	47
Bac226_19197258_tax	1	8	30	47
Bac226_185698852_tax	1	8	30	47
Bac226_405021918_tax	1	8	30	47
Bac226_376345862_tax	1	8	30	47
Bac226_257724000_tax	1	8	30	47
Bac226_50969842_tax	1	8	30	47
Bac226_94117509_tax	1	8	30	47
Bac226_66449936_tax	1	8	30	47
Bac226_275714701_tax	1	8	30	47
Bac226_150796235_tax	1	8	30	47
Bac226_368469726_tax	1	8	30	47
Bac226_59334392_tax	1	8	30	47
Bac226_222785989_tax	1	8	30	47
Bac226_163386822_tax	1	8	30	47
Bac226_207822477_tax	1	8	30	47
Bac226_295295509_tax	1	8	30	47
Bac226_342897893_tax	1	8	30	47
Bac226_110767727_tax	1	8	30	47
Bac226_135822047_tax	1	8	30	47
Bac226_154460509_tax	1	8	30	47
Bac226_201126602_tax	1	8	30	47
Bac226_237850226_tax	1	8	30	47
Bac226_38427847_tax	1	8	30	47
Bac226_61192335_tax	1	8	30	47
Bac226_398712044_tax	1	8	30	47
Bac226_376091130_tax	1	8	30	47
Bac226_64942696_tax	1	8	30	47
Bac226_220792299_tax	1	8	30	47
Bac226_278117463_tax	1	8	30	47
Bac226_275003970_tax	1	8	30	47
Bac226_411421300_tax	1	8	30	47
Bac226_423327014_tax	1	8	30	47
Bac226_211800869_tax	1	8	30	47
Bac226_323615598_tax	1	8	30	47
Bac226_29513084_tax	1	8	30	47
Bac226_323254798_tax	1	8	30	47
Bac226_325838085_tax	1	8	30	47
Bac226_30011958_tax	1	8	30	47
Bac226_409735462_tax	1	8	30	47
Bac226_417771219_tax	1	8	30	47
Bac226_134504347_tax	1	8	30	47
Bac226_325837311_tax	1	8	30	47
Bac226_129199040_tax	1	8	30	47
Bac226_230337003_tax	1	8	30	47
Bac226_99598318_tax	1	8	30	47
Bac226_173905493_tax	1	8	30	47
Bac226_371515862_tax	1	8	30	47
Bac226_421415495_tax	1	8	30	47
Bac226_243831118_tax	1	8	30	47
Bac226_250083588_tax	1	8	30	47
Bac226_189916231_tax	1	8	30	47
Bac226_93724868_tax	1	8	30	47
Bac226_320287387_tax	1	8	30	47
Bac226_314764303_tax	1	8	30	47
Bac226_360881631_tax	1	8	30	47
