KEGG_ko	arc_domain_prop	bac_domain_prop	Gene	Map	Pathway	alignment_length	highest_COG_cat	difference_1st_and_2nd	categories	COG_freq	COG_cat	archaea	bacteria	alternative_COGs	COG_perc	COG	COG_NAME	COG_TAG	sequences	Arc_prop	Bac_prop	constrained_median	ML_median	MEAN_OF_MEDIANS	RANGE_OF_MEDIANS	Probable_and_sampling_threshold_met	Possible_and_sampling_threshold_met	Probable	Possible
K00001	0.3771428571428571	0.4928774928774929	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	path:map00010,path:map00071,path:map00350,path:map00620,path:map00625,path:map00626,path:map00830,path:map00980,path:map00982,path:map01100,path:map01110,path:map01120,path:map01220	Glycolysis / Gluconeogenesis,Fatty acid degradation,Tyrosine metabolism,Pyruvate metabolism,Chloroalkane and chloroalkene degradation,Naphthalene degradation,Retinol metabolism,Metabolism of xenobiotics by cytochrome P450,Drug metabolism - cytochrome P450,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Degradation of aromatic compounds	5.0	520.0	451.0	6.0	0.796324655436447	C	287.0	328.0	11.0	0.300153139356815	COG1454	Alcohol_dehydrogenase,_class_IV	EutG	615.0	0.4666666666666667	0.5333333333333333	0.194275990456546	0.102987002424833	0.1486314964406895	0.091288988031713	0	0	0	0
K00002	0.0628571428571428	0.0427350427350427	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	path:map00010,path:map00040,path:map00053,path:map00561,path:map00620,path:map00930,path:map01100,path:map01110,path:map01120,path:map01220,path:map01240,path:map05208	Glycolysis / Gluconeogenesis,Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Glycerolipid metabolism,Pyruvate metabolism,Caprolactam degradation,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Degradation of aromatic compounds,Biosynthesis of cofactors,Chemical carcinogenesis - reactive oxygen species	166.0	23.0	7.0	3.0	0.575	S	25.0	15.0	3.0	0.675	COG0656	Aldo/keto_reductase,_related_to_diketogulonate_reductase	ARA1	40.0	0.625	0.375	0.20633086260642	0.613846513940362	0.410088688273391	0.4075156513339421	0	0	0	0
K00003	0.5457142857142857	0.6837606837606838	hom; homoserine dehydrogenase [EC:1.1.1.3]	path:map00260,path:map00270,path:map00300,path:map01100,path:map01110,path:map01120,path:map01230	Glycine, serine and threonine metabolism,Cysteine and methionine metabolism,Lysine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of amino acids	143.0	467.0	461.0	7.0	0.966873706004141	E	206.0	284.0	12.0	0.912244897959184	COG0460	Homoserine_dehydrogenase	ThrA	490.0	0.4204081632653061	0.5795918367346938	0.2718022559263	0.220059463827158	0.2459308598767289	0.0517427920991419	0	0	0	0
K00004	0.0428571428571428	0.150997150997151	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	path:map00650,path:map01110	Butanoate metabolism,Biosynthesis of secondary metabolites	177.0	58.0	29.0	2.0	0.666666666666667	E	18.0	69.0	2.0	0.896551724137931	COG1063	Threonine_dehydrogenase_or_related_Zn-dependent_dehydrogenase	Tdh	87.0	0.2068965517241379	0.7931034482758621	0.248537165346187	0.566249140479161	0.407393152912674	0.317711975132974	0	0	0	0
K00005	0.04	0.131054131054131	gldA; glycerol dehydrogenase [EC:1.1.1.6]	path:map00561,path:map00640,path:map01100	Glycerolipid metabolism,Propanoate metabolism,Metabolic pathways	268.0	68.0	0.0	1.0	1.0	C	14.0	54.0	1.0	1.0	COG0371	Glycerol_dehydrogenase_or_related_enzyme,_iron-containing_ADH_family	GldA	68.0	0.2058823529411764	0.7941176470588235	0.0417771508709893	0.485340039802844	0.2635585953369166	0.4435628889318547	0	0	0	0
K00007	0.0	0.0085470085470085	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	path:map00040,path:map00051,path:map01100	Pentose and glucuronate interconversions,Fructose and mannose metabolism,Metabolic pathways	209.0	3.0	2.0	2.0	0.75	G	0.0	4.0	1.0	1.0	COG0246	Mannitol-1-phosphate/altronate_dehydrogenases	MtlD	4.0	0.0	1.0	0.0685776791932756	0.130493780176677	0.0995357296849763	0.0619161009834014	0	0	0	0
K00008	0.2514285714285714	0.3247863247863248	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	path:map00040,path:map00051,path:map01100	Pentose and glucuronate interconversions,Fructose and mannose metabolism,Metabolic pathways	58.0	284.0	185.0	2.0	0.741514360313316	E	139.0	244.0	1.0	1.0	COG1063	Threonine_dehydrogenase_or_related_Zn-dependent_dehydrogenase	Tdh	383.0	0.3629242819843342	0.6370757180156658	0.882354121975283	0.951455037980409	0.916904579977846	0.069100916005126	1	1	1	1
K00009	0.0	0.1196581196581196	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	path:map00051,path:map01100	Fructose and mannose metabolism,Metabolic pathways	246.0	39.0	25.0	2.0	0.735849056603773	G	0.0	53.0	1.0	1.0	COG0246	Mannitol-1-phosphate/altronate_dehydrogenases	MtlD	53.0	0.0	1.0	0.0424117008002762	0.0706183806962363	0.0565150407482562	0.02820667989596	0	0	0	0
K00010	0.0542857142857142	0.1823361823361823	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	path:map00521,path:map00562,path:map01100,path:map01110,path:map01120	Streptomycin biosynthesis,Inositol phosphate metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments	137.0	145.0	140.0	5.0	0.935483870967742	S	24.0	133.0	3.0	0.980891719745223	COG0673	Predicted_dehydrogenase	MviM	157.0	0.1528662420382165	0.8471337579617835	0.008025452998741	0.117300050730234	0.0626627518644875	0.109274597731493	0	0	0	0
K00011	0.0	0.0056980056980056	AKR1B; aldehyde reductase [EC:1.1.1.21]	path:map00040,path:map00051,path:map00052,path:map00561,path:map00790,path:map01100	Pentose and glucuronate interconversions,Fructose and mannose metabolism,Galactose metabolism,Glycerolipid metabolism,Folate biosynthesis,Metabolic pathways	276.0	2.0	0.0	1.0	1.0	S	0.0	2.0	1.0	1.0	COG0656	Aldo/keto_reductase,_related_to_diketogulonate_reductase	ARA1	2.0	0.0	1.0					0	0	0	0
K00012	0.4657142857142857	0.7777777777777778	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	path:map00040,path:map00053,path:map00520,path:map00541,path:map01100,path:map01240,path:map01250	Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Amino sugar and nucleotide sugar metabolism,O-Antigen nucleotide sugar biosynthesis,Metabolic pathways,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars	227.0	419.0	302.0	5.0	0.77449168207024	M	198.0	343.0	5.0	0.948243992606285	COG1004	UDP-glucose_6-dehydrogenase	Ugd	541.0	0.3659889094269871	0.634011090573013	0.856337242020776	0.948713184483518	0.9025252132521472	0.092375942462742	1	1	1	1
K00013	0.4971428571428571	0.7464387464387464	hisD; histidinol dehydrogenase [EC:1.1.1.23]	path:map00340,path:map01100,path:map01110,path:map01230	Histidine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of amino acids	271.0	454.0	451.0	5.0	0.982683982683983	E	180.0	282.0	4.0	0.976190476190476	COG0141	Histidinol_dehydrogenase	HisD	462.0	0.3896103896103896	0.6103896103896104	0.4224409109356	0.885363262281639	0.6539020866086195	0.462922351346039	0	0	0	0
K00014	0.5285714285714286	0.7977207977207977	aroE; shikimate dehydrogenase [EC:1.1.1.25]	path:map00400,path:map00999,path:map01100,path:map01110,path:map01230	Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of various plant secondary metabolites; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of amino acids	91.0	514.0	506.0	5.0	0.955390334572491	E	192.0	347.0	7.0	0.968460111317254	COG0169	Shikimate_5-dehydrogenase	AroE	539.0	0.3562152133580705	0.6437847866419295	0.0037637290417906	0.0681089277268374	0.035936328384314	0.0643451986850467	0	0	0	0
K00015	0.2428571428571428	0.3817663817663818	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	path:map00630,path:map01100,path:map01110,path:map01120	Glyoxylate and dicarboxylate metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments	166.0	136.0	15.0	5.0	0.485714285714286	C	106.0	174.0	2.0	0.925	COG1052	Lactate_dehydrogenase_or_related_2-hydroxyacid_dehydrogenase	LdhA	280.0	0.3785714285714285	0.6214285714285714	0.0665749365698938	0.75979429301278	0.4131846147913369	0.6932193564428862	0	0	0	0
K00016	0.0485714285714285	0.2877492877492877	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	path:map00010,path:map00270,path:map00620,path:map00640,path:map01100,path:map01110,path:map01120,path:map04066,path:map04922,path:map05230	Glycolysis / Gluconeogenesis,Cysteine and methionine metabolism,Pyruvate metabolism,Propanoate metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,HIF-1 signaling pathway,Glucagon signaling pathway,Central carbon metabolism in cancer	226.0	154.0	0.0	1.0	1.0	C	19.0	135.0	2.0	0.961038961038961	COG0039	Malate/lactate_dehydrogenase	Mdh	154.0	0.1233766233766233	0.8766233766233766	0.649142655750048	0.897785014230616	0.773463834990332	0.2486423584805679	0	1	0	1
