Domain,Phyla,Class,Order,Family,Genera,Species,GTDB_id,Completeness,Contamination,Sample,CPA_count,CPA_binary,NhaB_count,NhaB_binary,NhaC_count,NhaC_binary,NhaD_count,NhaD_binary,Kef,CPA1,NhaA,Undescribed_CPA1,NhaS5,CHX,SOD2,NhaP,CPA1_IDK,GerN,CPA1_SL,Uncharacaterized,IT_count,Antiporter_count,IT_binary,Antiporter_binary,CPA_presence
1,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,Aenigmatarchaeum,Aenigmatarchaeum_subterraneum,GB_GCA_000405245.1,42.33,0.37,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
2,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,CS1-C013,CS1-C013_sp011773475,GB_GCA_011773475.1,81.14,3.64,Pelagic sediment,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,Present
3,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,CS1-C013,CS1-C013_sp017608545,GB_GCA_017608545.1,83.02,0.28,marine sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
4,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAAOXY01,JAAOXY01_sp018221065,GB_GCA_018221065.1,77.66,0.75,Hydrothermal vent sediments,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,Present
5,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAFCDY01,JAFCDY01_sp017609445,GB_GCA_017609445.1,88.61,0.46,marine sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
6,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAFGAZ01,JAFGAZ01_sp016933455,GB_GCA_016933455.1,89.16,0.48,Freshwater Sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
7,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAGGXH01,JAGGXH01_sp021163145,GB_GCA_021163145.1,93.54,0.26,marine hydrothermal sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
8,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIDZ01,JAHIDZ01_sp018901755,GB_GCA_018901755.1,90.81,0.29,Olkiluoto,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
9,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIDZ01,JAHIDZ01_sp028715225,GB_GCA_028715225.1,86.74,5.45,NEUS_D1 leachate from a leachate well at an active municipal landfill in the North Eastern United States,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
10,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIEG01,JAHIEG01_sp018901655,GB_GCA_018901655.1,84.34,0.08,Olkiluoto,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,Present
11,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAWBOD01,JAWBOD01_sp039000735,GB_GCA_039000735.1,63.12,0.27,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
12,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DAIDAN01,DAIDAN01,DAIDAN01_sp027310605,GB_GCA_027310605.1,74.67,1.04,water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
13,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DAIDAN01,DAIDAN01,DAIDAN01_sp036171435,GB_GCA_036171435.1,92.37,1.04,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
14,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DATDXV01,DATDXV01,DATDXV01_sp035289205,GB_GCA_035289205.1,90.34,0.27,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
15,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAADFI01,JAADFI01,JAADFI01_sp013152905,GB_GCA_013152905.1,85.21,0.49,Deepsea hydrothermal sulfide chimney,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,Present
16,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAADFI01,WANL01,WANL01_sp015521825,GB_GCA_015521825.1,87.94,0.5,deep-sea hydrothermal deposit,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,Present
17,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JACQIB01,DATDSO01,DATDSO01_sp035291225,GB_GCA_035291225.1,92.76,0.67,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
18,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JACQIB01,JACQIB01,JACQIB01_sp016198755,GB_GCA_016198755.1,89.46,0.56,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
19,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JACQIB01,JAWABM01,JAWABM01_sp038999215,GB_GCA_038999215.1,87.93,0.06,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
20,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAHLMR01,JAHLMR01,JAHLMR01_sp018920255,GB_GCA_018920255.1,94.63,0.01,Hot spring sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
21,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAHLMS01,JAHLMS01,JAHLMS01_sp018920245,GB_GCA_018920245.1,89.36,1.3,Hot spring sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
22,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535_sp015521535,GB_GCA_015521535.1,69.98,0.16,deep-sea hydrothermal deposit,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,Present
23,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535_sp015661515,GB_GCA_015661515.1,92.2,0.56,Mid-Cayman Rise Vent Fluids,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,Present
24,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535_sp026985775,GB_GCA_026985775.1,81.07,0.33,marine hydrothermal vent,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Present
25,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14_sp002789635,GB_GCA_002789635.1,85.57,0.3,groundwater,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,Present
26,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14_sp014728985,GB_GCA_014728985.1,81.96,0.31,microbial mat from hypersaline water environment,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,2,5,1,1,Present
27,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14_sp038999265,GB_GCA_038999265.1,97.45,0.77,none,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Absent
28,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,DAOVGP01,DAOVGP01_sp030672375,GB_GCA_030672375.1,73.47,0.05,cold seep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
29,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAFCEW01,JAFCEW01_sp017608955,GB_GCA_017608955.1,80.42,0.38,marine sediment,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Present
30,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAGVVZ01,JAGVVZ01_sp018304545,GB_GCA_018304545.1,91.94,0.57,Rifle well FP-101 under high O2 conditions; 0.2 micron filter,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Absent
31,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01_sp018920345,GB_GCA_018920345.1,95.54,0.37,Hot spring sediment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
32,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01_sp018920365,GB_GCA_018920365.1,93.75,0.09,Hot spring sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
33,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01_sp025058005,GB_GCA_025058005.1,74.26,0.72,brown biofilm from alkaline hot spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
34,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01_sp026414305,GB_GCA_026414305.1,95.11,1.23,alkaline hot spring water,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Present
35,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JASEGC01,JASEGC01_sp026397455,GB_GCA_026397455.1,72.43,0.2,lake sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
36,d__Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JASEGC01,JASEGC01_sp030018415,GB_GCA_030018415.1,89.39,0.15,groundwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Absent
