Protein_id	Subfamily	Clade	Subclade	Group	Subgroup
EukM6_605323	4	4	8	16	28
070_d_Eukarya_s__Arabidopsis_thaliana_Q9SA37_CHX1	4	4	8	16	28
EukM6_608708	4	4	8	16	28
EukM6_3248613	4	4	8	16	28
EukM6_3471644	4	4	8	16	28
EukM6_5514647	4	4	8	16	28
EukM6_2504515	4	4	8	16	28
EukM6_5501492	4	4	8	16	28
EukM6_218082	4	4	8	16	28
EukM6_218067	4	4	8	16	28
EukM6_202705	4	4	8	16	28
EukM6_194163	4	4	8	16	28
EukM6_213914	4	4	8	16	28
EukM6_194149	4	4	8	16	28
EukM6_211654	4	4	8	16	28
EukM6_207151	4	4	8	16	28
EukM6_3241232	4	4	8	16	28
EukM6_3227067	4	4	8	16	28
076_d_Eukarya_s__Arabidopsis_thaliana_Q8L709_CHX28	4	4	8	16	28
EukM6_614172	4	4	8	16	28
EukM6_5472801	4	4	8	16	28
EukM6_195399	4	4	8	16	28
EukM6_5490866	4	4	8	16	28
EukM6_621553	4	4	8	16	28
EukM6_3264015	4	4	8	16	28
EukM6_3228111	4	4	8	16	28
EukM6_3258430	4	4	8	16	28
EukM6_3261469	4	4	8	16	28
EukM6_3261825	4	4	8	16	28
EukM6_3240592	4	4	8	16	28
EukM6_3245095	4	4	8	16	28
EukM6_3247260	4	4	8	16	28
072_d_Eukarya_s__Arabidopsis_thaliana_O22920_CHX13	4	4	8	16	28
EukM6_610219	4	4	8	16	28
EukM6_3494306	4	4	8	16	28
EukM6_3475002	4	4	8	16	28
EukM6_579372	4	4	8	16	28
EukM6_554964	4	4	8	16	28
EukM6_3261824	4	4	8	16	28
EukM6_3240673	4	4	8	16	28
EukM6_589781	4	4	8	16	28
075_d_Eukarya_s__Arabidopsis_thaliana_Q9M008_CHX26	4	4	8	16	28
EukM6_617764	4	4	8	16	28
EukM6_554915	4	4	8	16	28
EukM6_568467	4	4	8	16	28
EukM6_550529	4	4	8	16	28
EukM6_555610	4	4	8	16	28
EukM6_555563	4	4	8	16	28
EukM6_568466	4	4	8	16	28
EukM6_568469	4	4	8	16	28
042_d_Eukarya_s__Arabidopsis_thaliana_P0CG16_CHX6B	4	4	8	16	28
EukM6_628401	4	4	8	16	28
037_d_Eukarya_s__Arabidopsis_thaliana_Q9ZUV9_CHX7	4	4	8	16	28
EukM6_610078	4	4	8	16	28
041_d_Eukarya_s__Arabidopsis_thaliana_Q8GX92_CHX6A	4	4	8	16	28
EukM6_628402	4	4	8	16	28
EukM6_604737	4	4	8	16	28
071_d_Eukarya_s__Arabidopsis_thaliana_Q58P71_CHX8	4	4	8	16	28
EukM6_610079	4	4	8	16	28
EukM6_619296	4	4	8	16	28
045_d_Eukarya_s__Arabidopsis_thaliana_Q9FYB9_CHX11	4	4	8	16	28
038_d_Eukarya_s__Arabidopsis_thaliana_Q58P69_CHX10	4	4	8	16	28
EukM6_613593	4	4	8	16	28
EukM6_613591	4	4	8	16	28
046_d_Eukarya_s__Arabidopsis_thaliana_Q9FFB7_CHX9	4	4	8	16	28
EukM6_619297	4	4	8	16	28
EukM6_3230894	4	4	8	16	28
EukM6_554911	4	4	8	16	28
EukM6_3235941	4	4	8	16	28
043_d_Eukarya_s__Arabidopsis_thaliana_Q9SIT5_CHX15	4	4	8	16	28
EukM6_579077	4	4	8	16	28
EukM6_565625	4	4	8	16	28
EukM6_3254594	4	4	8	16	28
EukM6_2485096	4	4	8	16	28
EukM6_3258219	4	4	8	16	28
EukM6_3254510	4	4	8	16	28
EukM6_3258220	4	4	8	16	28
EukM6_3474463	4	4	8	16	28
074_d_Eukarya_s__Arabidopsis_thaliana_Q9SKA9_CHX21	4	4	8	16	28
EukM6_595913	4	4	8	16	28
040_d_Eukarya_s__Arabidopsis_thaliana_Q8VYD4_CHX23	4	4	8	16	28
EukM6_604558	4	4	8	16	28
EukM6_189064	4	4	8	16	28
EukM6_5447496	4	4	8	16	pb_111
EukM6_3910813	4	4	8	16	pb_111
039_d_Eukarya_s__Arabidopsis_thaliana_Q9M353_CHX20	4	4	8	16	114
EukM6_5492790	4	4	8	16	114
073_d_Eukarya_s__Arabidopsis_thaliana_Q9FFR9_CHX18	4	4	8	16	115
EukM6_190237	4	4	8	16	115
EukM6_5492618	4	4	8	16	116
136_PPAT030604	4	4	8	16	116
135_SFAL032241	4	4	8	16	116
EukM6_5582964	4	4	8	16	116
EukM6_5561080	4	4	8	16	116
EukM6_2944076	4	4	8	16	116
EukM6_1448112	4	4	8	16	116
EukM6_1442016	4	4	8	16	116
EukM6_1423103	4	4	8	16	116
EukM6_1434515	4	4	8	16	116
EukM6_1420096	4	4	8	16	116
EukM6_5541221	4	4	8	16	116
EukM6_210148	4	4	8	16	116
069_d_Eukarya_s__Arabidopsis_thaliana_Q9SUQ7_CHX17	4	4	8	16	116
EukM6_607652	4	4	8	16	116
