GTDB_id	Uncharcterized	Kef	CPA1	CPA2	NhaA	NhaS5	Uncharacterized_Archaea	Uncharacterized_prokarya	DxK_Pseudomonadota	NxK_Gammaproteobacteriota	Latescibacteriota
RS_GCF_001542905.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_002838935.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_035400625.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_025397995.1	0	0	1	0	0	0	0	0	0	0	0
RS_GCF_024362525.1	0	3	3	0	0	3	0	0	0	0	0
GB_GCA_020697715.1	0	1	2	1	0	0	0	0	0	0	0
GB_GCA_028283345.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_023266155.1	0	1	0	0	0	0	0	0	0	0	0
RS_GCF_024494655.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_021806165.1	0	2	2	2	0	0	0	0	0	0	0
GB_GCA_038868255.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_041678455.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_028344155.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_003694495.1	0	1	1	1	0	0	0	0	0	0	0
GB_GCA_041500865.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_016866975.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_016213555.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_013331635.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_003560545.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_021159785.1	1	0	0	3	0	0	0	0	0	0	0
GB_GCA_028684695.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_016217785.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_027030065.1	1	0	0	3	0	0	0	0	0	0	0
GB_GCA_030539595.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_018609945.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_038044745.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_035553595.1	0	6	1	0	0	0	0	0	0	0	0
GB_GCA_016184145.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_030038605.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_021835025.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_041304825.1	0	0	0	2	0	0	0	0	0	0	0
GB_GCA_035541015.1	0	2	0	0	0	0	0	0	0	0	0
RS_GCF_004087835.1	0	0	2	0	0	0	0	0	0	0	0
RS_GCF_000328525.1	0	1	2	2	0	0	0	0	0	0	0
GB_GCA_038874215.1	0	1	0	1	0	0	0	0	0	0	0
GB_GCA_002923215.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_030919125.1	0	3	0	0	0	0	0	0	0	0	0
GB_GCA_005878415.1	0	2	0	2	0	0	0	0	0	0	0
GB_GCA_030036955.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_023136245.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_028867595.1	0	0	2	0	0	0	0	0	0	0	0
GB_GCA_021785735.1	0	0	1	1	0	0	0	0	0	0	0
GB_GCA_031177355.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_003661015.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_016927015.1	0	0	1	0	0	0	0	0	0	0	0
GB_GCA_037916685.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_020725985.1	0	1	0	2	0	0	0	0	0	0	0
GB_GCA_017540825.1	0	2	0	1	0	0	0	0	0	0	0
GB_GCA_018830525.1	0	1	0	0	0	0	0	0	0	0	0
GB_GCA_021163115.1	1	0	0	3	0	0	0	0	0	0	0
GB_GCA_027074515.1	0	1	1	0	0	0	0	0	0	0	0
GB_GCA_015522955.1	0	0	1	4	0	0	0	1	0	0	0
GB_GCA_018334795.1	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_937892275.1	0	3	0	1	0	0	0	0	0	0	0
GB_GCA_026413755.1	1	0	0	0	0	0	0	0	0	0	0
GB_GCA_022562615.1	0	1	1	1	0	0	0	0	0	0	0
RS_GCF_020177375.1	0	3	3	1	0	1	0	0	0	0	0
RS_GCF_900111935.1	0	1	1	0	0	0	0	0	0	0	0
RS_GCF_012027635.1	1	0	1	3	0	0	0	0	0	0	0
GB_GCA_026014665.1	0	1	2	1	0	0	0	0	0	0	0
