GTDB_id	GTDB_tax	Completeness	Contamination	Sample	CPA_count	CPA_binary	NhaB_count	NhaB_binary	NhaC_count	NhaC_binary	NhaD_count	NhaD_binary
GB_GCA_030638685.1	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__DAOWED01;g__DAOWED01;s__DAOWED01_sp030638685	85.56	1.82	cold seep	1	1	0	0	0	0	0	0
GB_GCA_035542115.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__JACTUA01_sp035542115	86.08	6.22	none	2	1	0	0	0	0	1	1
GB_GCA_021654395.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__ARM-1;s__ARM-1_sp021654395	94.41	0.24	coculture originated from an Indonesian acidic hot spring	1	1	0	0	0	0	0	0
RS_GCF_000328665.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans_hollandica	99.99	0.31	Anaerobic top layer (5 to 10 cm) of sediment (depth; 50 cm) in a eutrophic freshwater pond at the Dekkerswald Institute; Nijmegen; The Netherlands	2	1	0	0	0	0	1	1
GB_GCA_036566445.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21_sp036566445	88.96	0.18	none	2	1	0	0	0	0	0	0
GB_GCA_005881615.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6_sp005881615	89.08	3.49	temperate grassland biome	3	1	0	0	0	0	2	1
GB_GCA_030861865.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_sp030861865	57.2	0.57	soil	0	0	0	0	0	0	0	0
GB_GCA_016784085.1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__BS150m-G67;s__BS150m-G67_sp016784085	61.58	0.64	Brackish water; Black Sea St. 307	0	0	0	0	0	0	0	0
GB_GCA_015522885.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__WALJ01;f__WALJ01;g__WALJ01;s__WALJ01_sp015522885	74.39	1.77	deep-sea hydrothermal deposit	2	1	0	0	0	0	2	1
GB_GCA_938091495.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JACAEJ01;g__JACAEJ01;s__JACAEJ01_sp938091495	96.6	1.71	Seawater	1	1	0	0	0	0	2	1
GB_GCA_016187405.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JACPJS01;s__JACPJS01_sp016187405	73.05	0.23	groundwater	0	0	0	0	0	0	0	0
GB_GCA_027038505.1	d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__WAPT01;g__WAPT01;s__WAPT01_sp027038505	94.13	0	marine hydrothermal vent	1	1	0	0	0	0	1	1
GB_GCA_035290775.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__GW2011-AR5;g__JACQNW01;s__JACQNW01_sp035290775	77.66	1.36	none	4	1	0	0	0	0	0	0
GB_GCA_038046645.1	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__0-14-0-20-34-12;g__0-14-0-20-34-12;s__0-14-0-20-34-12_sp038046645	89.2	0.43	none	3	1	0	0	0	0	0	0
RS_GCF_900110215.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis_persica	100	4.1	none	3	1	0	0	1	1	1	1
